"","police_force_area","region","country"
"1","Avon and Somerset","South West","England"
"2","Bedfordshire","Thames & Chiltern","England"
"3","Cambridgeshire","Eastern","England"
"4","Cheshire","Merseyside & Cheshire","England"
"5","City of London","London","England"
"6","Cleveland","North East","England"
"7","Cumbria","Greater Manchester, Lancashire & Cumbria","England"
"8","Derbyshire","East Midlands","England"
"9","Devon and Cornwall","South West","England"
"10","Dorset","Wessex","England"
"11","Durham","North East","England"
"12","Dyfed-Powys","Wales/Cymru","Wales"
"13","Essex","Eastern","England"
"14","Gloucestershire","South West","England"
"15","Greater Manchester","Greater Manchester, Lancashire & Cumbria","England"
"16","Gwent","Wales/Cymru","Wales"
"17","Hampshire","Wessex","England"
"18","Hertfordshire","Thames & Chiltern","England"
"19","Humberside","Yorkshire & Humberside","England"
"20","Kent","South East","England"
"21","Lancashire","Greater Manchester, Lancashire & Cumbria","England"
"22","Leicestershire","East Midlands","England"
"23","Lincolnshire","East Midlands","England"
"24","Merseyside","Merseyside & Cheshire","England"
"25","Metropolitan Police","London","England"
"26","Norfolk","Eastern","England"
"27","North Wales","Wales/Cymru","Wales"
"28","North Yorkshire","Yorkshire & Humberside","England"
"29","Northamptonshire","East Midlands","England"
"30","Northumbria","North East","England"
"31","Nottinghamshire","East Midlands","England"
"32","South Wales","Wales/Cymru","Wales"
"33","South Yorkshire","Yorkshire & Humberside","England"
"34","Staffordshire","West Midlands","England"
"35","Suffolk","Eastern","England"
"36","Surrey","South East","England"
"37","Sussex","South East","England"
"38","Thames Valley","Thames & Chiltern","England"
"39","Warwickshire","West Midlands","England"
"40","West Mercia","West Midlands","England"
"41","West Midlands","West Midlands","England"
"42","West Yorkshire","Yorkshire & Humberside","England"
"43","Wiltshire","Wessex","England"
"44","special/miscellaneous and unknown police forces","Specialist","England"
